ID,gonad.id,Location,Species,Date,Day,Month,Year,FL,field Sex,histology Sex,State,Stage,Fish_Weight,Gonad_Weight,phase,mature
362,"KH466
KH466",Kaupulehu,Kole,4/24/13,24,4,2013,17.3,,M,SC,Mature,166.67,3.1,,1
476,KH158,Kaupulehu,Kole,5/5/13,5,5,2013,14.4,,M,SC,Mature,97.33,2.02,,1
359,KH465,Kaupulehu,Kole,4/24/13,24,4,2013,15.8,,M,SC,Mature,115.48,0.22,,1
251,KPT2/27/13kole3,Kaupulehu,Kole,2/27/13,27,2,2013,16.9,,M,Mature,,144.6,8.25,,1
250,KPT2/27/13kole2,Kaupulehu,Kole,2/27/13,27,2,2013,18.3,,M,Mature,,172.9,6.86,,1
249,KPT2/27/13Kole1,Kaupulehu,Kole,2/27/13,27,2,2013,18.8,,M,Mature,,181.4,4.39,,1
170,MO149,Maunalua,Kole,3/30/13,30,3,2013,13.4,,M,unknown,,,4.31,,1
167,MO153,Maunalua,Kole,3/30/13,30,3,2013,12.7,,M,Mature,,,0.15,,1
335,MO131,Maunalua,Kole,4/24/13,24,4,2013,16.5,,M,D,Mature,,3.8,,1
334,MO130,Maunalua,Kole,4/24/13,24,4,2013,15.7,,M,D,Mature,,5.12,,1
333,MO132,Maunalua,Kole,4/24/13,24,4,2013,16.5,,M,D,Mature,,4.21,,1
360,KH467,Kaupulehu,Kole,4/24/13,24,4,2013,18.2,,M,SC,Mature,188.97,7.01,,1
307,MO343,Maunalua,Kole,4/19/13,19,4,2013,13.9,,M,SC,Mature,81,0.39,,1
304,MO347,Maunalua,Kole,4/19/13,19,4,2013,14,,M,D,Mature,95,0.45,,1
1915,ES911,Hanalei,Kole,5/14/13,14,5,2013,15,,M,SC,MATURE,,0.05,,1
923,ES386,Maunalua,Kole,6/26/13,26,6,2013,18.2,,M,SC,Mature,169.2,1,,1
651,ES207,Kaupulehu,Kole,6/1/13,1,6,2013,13.8,,M,SC,Mature,,,,1
1515,WM1427,West Maui,Kole,2/26/14,26,2,2014,13.4,,M,SC,MATURE,40,0.01,,1
1588,ES689,Kiholo,Kole,3/23/14,23,3,2014,14.3,,M,SC,MATURE,87.2,0.05,,1
451,ES109,Maunalua,Kole,5/8/13,8,5,2013,10.3,,M,D,Mature,30,0.03,,1
446,ES104,Maunalua,Kole,5/8/13,8,5,2013,14.5,,M,SC,Mature,98,0.09,,1
428,ES87,Maunalua,Kole,5/4/13,4,5,2013,13.5,,M,SC,Mature,77,0.13,,1
629,ES141,Maunalua,Kole,5/24/13,24,5,2013,12.3,,M,SC,Mature,47,0.02,,1
628,ES140,Maunalua,Kole,5/24/13,24,5,2013,14,,M,SC,Mature,69,0.09,,1
609,KH849,West Hawaii,Kole,5/26/13,26,5,2013,18.3,,M,SC,Mature,141,0.01,,1
572,ES110,Maunalua,Kole,5/14/13,14,5,2013,16.3,,M,SC,Mature,142,0.16,,1
270,KH468,Kaupulehu,Kole,4/16/13,16,4,2013,15.6,,M,SC,Mature,111,0.111,,1
269,KH402,Kaupulehu,Kole,4/16/13,16,4,2013,16.5,,M,SC,Mature,107,0.107,,1
268,KH469,Kaupulehu,Kole,4/16/13,16,4,2013,15.4,,M,SC,Mature,104,0.104,,1
203,KH439,Kawaihae,Kole,4/6/13,6,4,2013,15,,M,SC,Mature,140,,,1
103,ES002,Maunalua,Kole,2/16/13,16,2,2013,15.4,,M,U,,118.8,0.01,,1
53,M008,Maunalua,Kole,1/18/13,18,1,2013,13.5,,M,SC,,82.8,0.11,,1
649,ES205,Kaupulehu,Kole,6/1/13,1,6,2013,13.8,,M,SC,Mature,,,,1
316,ES43,Maunalua,Kole,4/19/13,19,4,2013,11.8,,M,SC,Mature,51.7,0.14,,1
315,ES42,Maunalua,Kole,4/19/13,19,4,2013,11.9,,M,SC,Mature,53.19,0.03,,1
310,ES37,Maunalua,Kole,4/19/13,19,4,2013,11.9,,M,SC,Mature,49.5,0.04,,1
313,ES40,Maunalua,Kole,4/19/13,19,4,2013,13.3,,M,D,Mature,65.9,0.06,,1
1676,ES725,Maunalua,Kole,4/9/14,9,4,2014,10.8,,M,SC,MATURE,36.71,0.04,,1
1675,ES724,Maunalua,Kole,4/9/14,9,4,2014,11.3,,M,SC,MATURE,42.48,0.001,,1
687,ES219,Kaupulehu,Kole,6/1/13,1,6,2013,13.1,,M,SC,Mature,66.9,0.05,,1
685,ES217,Kaupulehu,Kole,6/1/13,1,6,2013,16.5,,M,SC,Mature,123.9,0.06,,1
1408,ES583,Maunalua,Kole,1/16/14,16,1,2014,15.5,,M,SC,MATURE,116,0.01,,1
1004,ES481,Maunalua,Kole,8/20/13,20,8,2013,16.7,,M,U,Immature,154.4,0.1,,1
574,ES112,Maunalua,Kole,5/14/13,14,5,2013,17.8,F,,,,168,14.68,,1
2026,MO343,Maunalua,Kole,6/6/14,6,6,2014,13.8,F,,,,,1.49,,1
2222,MO1539,Maunalua,Kole,7/27/14,27,7,2014,15.9,F,,,,,3.69,,1
2221,MO1538,Maunalua,Kole,7/27/14,27,7,2014,14,F,,,,,2.27,,1
2220,MO1537,Maunalua,Kole,7/27/14,27,7,2014,12.7,F,,,,,0.43,,1
2194,ES1011,Maunalua,Kole,7/6/14,6,7,2014,17.3,F,,,,154.44,3.26,,1
